date,firm,n,sd,source,DK,Egyuett,FideszKDNP,Jobbik,LMP,MSZP,MKKP,MM,MH
2014-04-29,Medián,NA,NA,NA,2,4,56,17,4,14,,,
2014-05-08,Nézőpont,NA,NA,NA,4,10,46,15,10,15,,,
2014-05-13,Ipsos,NA,NA,NA,4,3,56,17,3,16,,,
2014-05-15,Tárki,NA,NA,NA,4,3,55,16,4,15,,,
2014-05-18,Nézőpont,NA,NA,NA,6,6,46,15,8,17,,,
2014-06-13,Ipsos,NA,NA,NA,6,4,57,18,4,10,,,
2014-06-17,Tárki,NA,NA,NA,6,4,56,15,4,16,,,
2014-06-18,Nézőpont,NA,NA,NA,7,6,47,19,7,14,,,
2014-07-18,Iránytű,NA,NA,NA,7,6,51,19,5,10,,,
2014-07-21,Ipsos,NA,NA,NA,3,3,56,16,4,15,,,
2014-07-22,Tárki,NA,NA,NA,4,6,55,16,3,15,,,
2014-07-24,Nézőpont,NA,NA,NA,8,6,41,23,8,13,,,
2014-07-25,Századvég,NA,NA,NA,7,4,53,18,4,12,,,
2014-08-12,Ipsos,NA,NA,NA,5,3,49,19,3,18,,,
2014-08-30,Nézőpont,NA,NA,NA,8,4,42,26,9,11,,,
2014-09-14,Ipsos,NA,NA,NA,4,3,56,17,4,16,,,
2014-09-17,Tárki,NA,NA,NA,6,3,54,15,4,18,,,
2014-09-23,Medián,NA,NA,NA,4,6,50,21,3,15,,,
2014-09-25,Századvég,NA,NA,NA,6,3,54,17,3,15,,,
2014-09-26,Nézőpont,NA,NA,NA,12,5,45,20,6,12,,,
2014-10-07,Ipsos,NA,NA,NA,5,3,55,16,4,15,,,
2014-10-20,Tárki,NA,NA,NA,5,2,55,17,3,16,,,
2014-11-07,Nézőpont,NA,NA,NA,11,4,40,26,8,9,,,
2014-11-17,Ipsos,NA,NA,NA,2,2,48,21,6,15,,,
2014-11-23,Tárki,NA,NA,NA,5,3,45,21,5,20,,,
2014-12-02,Medián,NA,NA,NA,6,2,38,27,4,19,,,
2014-12-08,Ipsos,NA,NA,NA,4,1,45,24,5,18,,,
2014-12-16,Nézőpont,NA,NA,NA,9,4,40,24,8,12,,,
2014-12-20,Századvég,NA,NA,NA,4,4,44,22,6,17,,,
2015-01-10,Ipsos,NA,NA,NA,3,1,44,24,6,19,,,
2015-01-18,Iránytű,NA,NA,NA,8,4,39,24,7,15,,,
2015-01-20,Századvég,NA,NA,NA,4,2,45,24,5,18,,,
2015-01-22,Tárki,NA,NA,NA,10,4,41,20,5,18,,,
2015-01-26,Nézőpont,NA,NA,NA,6,4,40,27,8,12,,,
2015-02-07,Ipsos,NA,NA,NA,6,2,40,25,5,19,,,
2015-02-10,Századvég,NA,NA,NA,4,2,45,25,4,19,,,
2015-02-11,Medián,NA,NA,NA,7,3,45,21,5,17,,,
2015-02-24,Nézőpont,NA,NA,NA,8,0,42,28,5,13,,,
2015-03-10,Századvég,NA,NA,NA,6,2,41,27,5,18,,,
2015-03-13,Ipsos,NA,NA,NA,7,1,37,28,4,19,,,
2015-03-27,Nézőpont,NA,NA,NA,12,3,44,23,7,10,,,
2015-03-31,Medián,NA,NA,NA,6,2,40,25,4,17,,,
2015-04-15,Századvég,NA,NA,NA,8,2,38,28,6,17,,,
2015-04-19,Ipsos,NA,NA,NA,6,2,38,27,7,17,,,
2015-04-23,Tárki,NA,NA,NA,9,1,38,24,5,17,,,
2015-04-25,Nézőpont,NA,NA,NA,10,3,36,28,7,13,,,
2015-05-22,Nézőpont,NA,NA,NA,10,3,39,25,7,12,,,
2015-05-31,Medián,NA,NA,NA,9,3,44,24,5,12,,,
2015-06-08,Ipsos,NA,NA,NA,9,1,38,28,5,15,,,
2015-06-11,Iránytű,NA,NA,NA,8,3,42,28,6,11,,,
2015-06-14,Századvég,NA,NA,NA,8,2,40,27,6,15,,,
2015-06-25,Nézőpont,NA,NA,NA,11,2,41,26,5,12,,,
2015-07-09,Publicus,NA,NA,NA,5,0,42,23,5,20,,,
2015-07-21,Tárki,NA,NA,NA,8,2,39,24,4,19,,,
2015-07-29,Nézőpont,NA,NA,NA,9,4,41,26,6,11,,,
2015-08-12,Publicus,NA,NA,NA,5,2,42,24,5,19,,,
2015-08-19,Nézőpont,NA,NA,NA,13,2,40,26,7,10,,,
2015-09-04,Századvég,NA,NA,NA,8,2,41,26,5,16,,,
2015-09-15,Ipsos,NA,NA,NA,7,1,41,26,5,17,,,
2015-09-15,Medián,NA,NA,NA,6,3,50,22,3,15,,,
2015-10-15,Publicus,NA,NA,NA,6,0,45,24,5,18,,,
2015-10-21,Nézőpont,NA,NA,NA,9,2,45,22,5,10,,,
2015-10-23,Tárki,NA,NA,NA,6,1,51,23,4,14,,,
2015-10-26,Iránytű,NA,NA,NA,8,2,47,25,5,10,,,
2015-11-19,Nézőpont,NA,NA,NA,7,2,48,22,6,9,,,
2015-12-01,Medián,NA,NA,NA,9,2,51,21,4,11,,,
2015-12-05,Publicus,NA,NA,NA,6,0,49,21,4,16,,,
2015-12-07,Nézőpont,NA,NA,NA,9,1,48,21,4,11,,,
2016-01-17,Publicus,NA,NA,NA,5,2,49,17,5,18,,,
2016-01-19,Nézőpont,NA,NA,NA,7,2,44,23,5,15,,,
2016-01-20,Tárki,NA,NA,NA,6,3,54,20,4,12,,,
2016-01-26,Századvég,NA,NA,NA,10,2,45,22,5,14,,,
2016-01-27,Medián,NA,NA,NA,7,1,53,19,2,15,,,
2016-02-11,Publicus,NA,NA,NA,5,1,48,17,5,19,,,
2016-02-17,Nézőpont,NA,NA,NA,10,2,44,23,5,11,,,
2016-02-25,Századvég,NA,NA,NA,9,1,46,23,4,14,,,
2016-02-28,Iránytű,NA,NA,NA,9,3,42,25,7,11,,,
2016-02-29,"Závecz Research",NA,NA,NA,9,2,48,17,4,15,,,
2016-02-29,Republikon,NA,NA,NA,4,2,49,22,4,19,,,
2016-03-13,"Závecz Research",NA,NA,NA,8,3,44,17,6,18,,,
2016-03-17,Publicus,NA,NA,NA,6,1,47,18,5,21,,,
2016-03-21,Nézőpont,NA,NA,NA,9,4,41,24,5,12,,,
2016-03-31,Republikon,NA,NA,NA,7,2,50,17,4,19,,,
2016-04-07,Medián,NA,NA,NA,11,3,50,18,3,13,,,
2016-04-11,"Závecz Research",NA,NA,NA,10,4,40,20,5,17,,,
2016-04-12,Publicus,NA,NA,NA,6,2,46,19,4,20,,,
2016-04-20,Tárki,NA,NA,NA,7,2,47,20,4,18,,,
2016-04-20,Nézőpont,NA,NA,NA,7,3,40,26,7,13,,,
2016-04-30,Republikon,NA,NA,NA,5,2,51,17,4,19,,,
2016-05-14,"Závecz Research",NA,NA,NA,8,3,43,20,4,18,,,
2016-05-17,Publicus,NA,NA,NA,5,1,43,19,5,21,,,
2016-05-19,Nézőpont,NA,NA,NA,7,3,41,27,6,11,,,
2016-05-25,Iránytű,NA,NA,NA,7,2,44,26,5,12,,,
2016-05-31,Republikon,NA,NA,NA,8,3,43,18,5,20,,,
2016-06-05,Századvég,NA,NA,NA,8,1,44,24,4,16,,,
2016-06-12,"Závecz Research",NA,NA,NA,11,3,39,19,5,19,,,
2016-06-15,Publicus,NA,NA,NA,5,1,45,18,5,20,,,
2016-06-19,Nézőpont,NA,NA,NA,10,2,40,24,7,11,,,
2016-06-30,Medián,NA,NA,NA,7,2,56,15,4,14,,,
2016-07-06,Publicus,NA,NA,NA,6,1,44,18,6,21,,,
2016-07-06,Századvég,NA,NA,NA,7,1,45,23,5,15,,,
2016-07-17,"Závecz Research",NA,NA,NA,9,2,46,18,4,19,,,
2016-07-17,Nézőpont,NA,NA,NA,8,2,44,21,7,12,,,
2016-07-24,Tárki,NA,NA,NA,8,2,49,22,4,13,,,
2016-07-31,Republikon,NA,NA,NA,8,2,43,20,6,17,2,,
2016-08-07,Iránytű,NA,NA,NA,9,3,46,25,4,11,0,,
2016-08-11,"Závecz Research",NA,NA,NA,9,1,43,22,4,17,0,,
2016-08-15,Nézőpont,NA,NA,NA,9,2,45,22,6,10,0,,
2016-08-16,Publicus,NA,NA,NA,6,0,47,18,6,20,1,,
2016-08-31,Republikon,NA,NA,NA,5,3,48,19,5,18,2,,
2016-09-11,"Závecz Research",NA,NA,NA,9,3,45,19,5,15,0,,
2016-09-13,Medián,NA,NA,NA,5,3,54,17,3,15,0,,
2016-09-21,Nézőpont,NA,NA,NA,7,2,49,20,4,10,2,,
2016-09-30,Századvég,NA,NA,NA,6,2,47,21,6,15,0,,
2016-10-13,Publicus,NA,NA,NA,5,1,50,17,4,19,1,,
2016-10-16,"Závecz Research",NA,NA,NA,8,3,49,17,5,14,0,,
2016-10-21,Iránytű,NA,NA,NA,8,0,50,24,4,10,0,,
2016-10-23,Tárki,NA,NA,NA,6,2,54,17,3,15,0,,
2016-10-26,Republikon,NA,NA,NA,4,1,52,19,5,17,1,,
2016-10-26,Nézőpont,NA,NA,NA,7,3,45,23,3,9,1,,
2016-11-14,"Závecz Research",NA,NA,NA,8,3,44,21,5,16,0,,
2016-11-18,Nézőpont,NA,NA,NA,5,3,46,26,4,10,2,,
2016-11-22,Republikon,NA,NA,NA,5,2,48,22,5,15,0,,
2016-11-30,Medián,NA,NA,NA,9,3,53,16,3,14,1,,
2016-12-06,Századvég,NA,NA,NA,4,2,47,19,4,16,1,,
2016-12-08,"Závecz Research",NA,NA,NA,8,3,43,20,4,18,0,,
2016-12-14,Publicus,NA,NA,NA,5,1,49,18,5,18,2,,
2016-12-31,Republikon,NA,NA,NA,5,2,51,19,3,18,,,
2017-01-07,Nézőpont,NA,NA,NA,6,1,45,24,5,10,2,2,
2017-01-18,Publicus,NA,NA,NA,7,2,44,18,5,23,,2,
2017-01-19,Nézőpont,NA,NA,NA,7,2,47,18,5,14,3,1,
2017-01-23,Tárki,NA,NA,NA,6,2,52,20,4,15,,2,
2017-01-28,"Závecz Research",NA,NA,NA,6,1,48,17,4,19,2,2,
2017-01-31,"Závecz Research",NA,NA,NA,8,2,44,18,5,19,,1,
2017-01-31,Medián,NA,NA,NA,7,3,60,13,3,10,1,2,
2017-02-07,Századvég,NA,NA,NA,5,1,49,19,5,18,,2,
2017-02-19,Iránytű,NA,NA,NA,6,1,50,21,6,11,3,,
2017-02-20,Nézőpont,NA,NA,NA,7,3,46,21,4,14,2,,
2017-02-22,Republikon,NA,NA,NA,5,3,52,14,6,15,,,
2017-03-05,Századvég,NA,NA,NA,5,2,47,18,5,19,0,0,
2017-03-17,Iránytű,NA,NA,NA,5,2,47,23,4,10,3,5,
2017-03-23,Republikon,NA,NA,NA,6,2,50,16,5,17,,,
2017-03-26,"Závecz Research",NA,NA,NA,8,1,44,16,4,19,2,,
2017-03-26,Nézőpont,NA,NA,NA,6,1,53,16,6,11,2,2,
2017-04-04,Századvég,NA,NA,NA,5,1,48,19,4,19,,,
2017-04-04,"Závecz Research",NA,NA,NA,7,1,47,17,4,20,0,2,
2017-04-16,Publicus,NA,NA,NA,4,1,50,17,4,21,1,2,
2017-04-19,Republikon,NA,NA,NA,4,1,47,20,5,20,,2,
2017-04-20,Nézőpont,NA,NA,NA,6,2,45,20,5,14,3,1,
2017-04-26,Tárki,NA,NA,NA,8,1,51,17,4,15,,2,
2017-05-13,"Závecz Research",NA,NA,NA,8,3,40,18,5,20,0,3,
2017-05-23,Nézőpont,NA,NA,NA,5,1,44,21,5,14,3,3,
2017-05-25,Iránytű,NA,NA,NA,5,1,51,20,6,12,2,2,
2017-06-13,Publicus,NA,NA,NA,3,1,52,17,3,20,1,2,
2017-06-18,Nézőpont,NA,NA,NA,5,2,41,23,4,15,3,4,
2017-06-21,"Závecz Research",NA,NA,NA,8,2,42,19,5,19,,2,
2017-06-21,Medián,NA,NA,NA,6,1,53,21,3,12,1,1,
2017-06-30,Iránytű,NA,NA,NA,6,1,49,21,5,11,3,3,
2017-06-30,Republikon,NA,NA,NA,4,2,49,17,5,17,,3,
2017-07-18,Publicus,NA,NA,NA,5,0,42,17,5,22,2,3,
2017-07-19,Republikon,NA,NA,NA,4,2,51,18,4,15,0,3,
2017-07-23,Nézőpont,NA,NA,NA,6,2,43,23,4,13,2,5,
2017-07-23,Tárki,NA,NA,NA,5,1,55,17,3,11,,3,
2017-07-23,"Závecz Research",NA,NA,NA,8,2,42,20,4,18,2,2,
2017-07-25,Iránytű,NA,NA,NA,5,1,50,22,4,11,3,3,
2017-07-25,Századvég,NA,NA,NA,5,1,48,19,5,17,,,
2017-08-12,Publicus,NA,NA,NA,4,1,48,16,4,19,2,3,
2017-08-12,Iránytű,NA,NA,NA,5,2,51,23,4,9,3,3,
2017-08-15,Republikon,NA,NA,NA,5,2,52,16,5,14,,3,
2017-08-17,"Závecz Research",NA,NA,NA,8,2,43,20,5,17,1,1,
2017-08-18,Nézőpont,NA,NA,NA,7,2,43,22,5,12,2,5,
2017-08-30,Századvég,NA,NA,NA,5,1,49,18,4,17,,,
2017-09-13,Republikon,NA,NA,NA,6,2,53,15,6,11,0,3,
2017-09-18,"Závecz Research",NA,NA,NA,8,2,44,19,4,17,1,3,
2017-09-18,Publicus,NA,NA,NA,4,1,48,17,4,18,2,3,
2017-09-20,Nézőpont,NA,NA,NA,8,2,43,21,6,11,2,4,
2017-09-20,Medián,NA,NA,NA,5,2,55,16,7,9,1,3,
2017-09-27,Századvég,NA,NA,NA,5,1,49,16,6,16,,,
2017-09-30,Iránytű,NA,NA,NA,8,2,43,23,7,11,3,3,
2017-10-15,Nézőpont,NA,NA,NA,8,2,44,19,7,10,3,4,
2017-10-15,"Závecz Research",NA,NA,NA,9,1,45,19,6,13,1,3,
2017-10-15,Századvég,NA,NA,NA,5,1,50,16,7,16,,,
2017-10-17,Publicus,NA,NA,NA,4,0,49,17,7,15,2,2,
2017-10-20,Republikon,NA,NA,NA,5,2,54,15,6,12,,3,
2017-10-21,Tárki,NA,NA,NA,5,1,59,15,4,12,,2,
2017-10-21,Iránytű,NA,NA,NA,7,1,49,22,8,7,1,3,
2017-10-24,Medián,NA,NA,NA,7,1,61,14,5,9,2,1,
2017-11-14,"Závecz Research",NA,NA,NA,10,1,49,18,6,12,1,2,
2017-11-15,Publicus,NA,NA,NA,5,1,50,17,7,14,1,1,
2017-11-19,Nézőpont,NA,NA,NA,8,2,48,16,8,9,2,4,
2017-11-28,Századvég,NA,NA,NA,5,1,51,15,8,14,0,,
2017-11-30,Republikon,NA,NA,NA,6,2,57,13,6,11,,3,
2017-11-30,Iránytű,NA,NA,NA,8,1,50,22,7,7,1,3,
2017-11-30,Medián,NA,NA,NA,7,2,60,15,5,10,,1,
2017-12-12,Iránytű,1000,0.031,http://iranytuintezet.hu/elemzesek-kutatasok/mind/213-az-iranytu-intezet-2017.-decemberi-orszagos-kozvelemeny-kutatasa/,7,2,50,21,7,8,2,3,
2017-12-13,Publicus,1005,0.031,https://kozvelemenykutatok.hu/2017-decemberi-kutatasi-eredmenyek-publicus/,6,2,48,14,7,15,2,2,
2017-12-14,"Závecz Research",1000,0.031,NA,8,3,52,14,7,12,0,2,
2017-12-18,Nézőpont,2000,0.022,http://nezopontintezet.hu/analysis/csucsponton-fidesz/,9,2,51,14,9,8,2,3,
2017-12-20,Republikon,1000,0.031,https://kozvelemenykutatok.hu/2017-decemberi-kutatasi-eredmenyek-republikon/,5,2,57,16,5,11,0,2,
2018-01-02,Századvég,1000,0.031,https://szazadveg.hu/hu/kutatasok/az-alapitvany-kutatasai/piackutatas-kozvelemeny-kutatas/a-fidesz-kdnp-a-2017-es-ev-nyertese,6,1,52,16,7,14,,,
2018-01-09,Iránytű,1000,0.031,https://kozvelemenykutatok.hu/aktualitasok-4/,7,2,48,22,7,8,1,3,
2018-01-15,"Závecz Research",1000,0.031,http://www.zaveczresearch.hu/alacsony-aktivitas-valtozatlan-eroviszonyok/,8,1,50,16,7,13,1,2,
2018-01-16,Publicus,1023,0.031,http://www.publicus.hu/blog/partok_tamogatottsaga_es_egyes_politikusok_nepszerusege_2018_januar/,5,2,49,16,7,17,1,1,
2018-01-21,Nézőpont,2000,0.022,http://nezopontintezet.hu/analysis/2018_januar_partpreferencia_nezopont/,8,1,54,13,8,9,2,3,
2018-01-23,Medián,1200,0.028,https://kozvelemenykutatok.hu/2018-januari-kutatasi-eredmenyek-median/,9,1,53,18,6,11,,1,
2018-01-23,Tárki,1012,0.031,https://kozvelemenykutatok.hu/2018-januari-kutatasi-eredmenyek-tarki/,6,2,62,14,5,7,,1,
2018-01-24,Századvég,1000,0.031,https://kozvelemenykutatok.hu/2018-januari-kutatasi-eredmenyek-szazadveg/,6,1,51,16,8,13,,,
2018-01-31,IDEA,1000,0.031,https://twitter.com/HungaryElects/status/963856274436886528,12,3,40,17,6,10,,2,
2018-01-31,Republikon,1000,0.031,https://kozvelemenykutatok.hu/2018-januari-kutatasi-eredmenyek-republikon/,5,2,53,18,4,13,,3,
2018-02-13,Századvég,1000,0.031,http://www.origo.hu/itthon/20180215-itt-a-szazadveg-alapitvany-friss-februari-merese.html,7,1,51,14,10,10,,,
2018-02-14,Publicus,1002,0.031,https://kozvelemenykutatok.hu/2018-februari-kutatasi-eredmenyek-publicus/,5,0,48,16,8,18,2,1,
2018-02-15,"Závecz Research",1000,0.031,https://index.hu/belfold/2018/valasztas/2018/02/20/kozvelemeny-kutatas_zri_zavecz_research_fidesz_jobbik_mszp_lmp_dk_egyutt_momentum/,6,1,51,17,6,13,1,2,
2018-02-21,Nézőpont,2000,0.022,http://nezopontintezet.hu/analysis/valtozatlan-eroviszonyok-kampanystartnal/,8,1,54,13,8,10,2,3,
2018-02-22,Republikon,1000,0.031,https://24.hu/belfold/2018/02/28/megroggyant-a-fidesz-araszol-felfele-az-ellenzek/,6,2,48,19,5,17,,2,
2018-02-28,IDEA,1000,0.031,https://kozvelemenykutatok.hu/2018-februari-kutatasi-eredmenyek-idea/,13,1,36,19,8,13,,2,
2018-02-28,Századvég,1000,0.031,http://www.origo.hu/itthon/20180301-szazadveg-aktivizalodott-a-fidesz-kdnp-tabor.html,6,1,53,11,8,14,,,
2018-03-05,Nézőpont,2000,0.022,http://nezopontintezet.hu/analysis/hodmezovasarhely-utan-sem-valtozott-fidesz-tamogatottsaga/,6,0,52,17,9,10,2,4,
2018-03-07,Medián,1200,0.028,http://hvg.hu/itthon/20180314_median_kozvelemeny_kutatas_marcius,9,2,54,16,5,12,,2,
2018-03-14,"Závecz Research",1000,0.031,http://www.zaveczresearch.hu/nott-az-aktivitas-erosodott-a-jobbik/,8,1,47,19,6,13,2,3,
2018-03-14,Publicus,1003,0.031,https://twitter.com/HungaryElects/status/975371395793342465,5,1,49,17,8,18,1,1,
2018-03-19,Nézőpont,1000,0.031,http://www.atv.hu/belfold/20180328-nezopont-a-fidesz-50-szazalek-felett-a-jobbik-elmarad-a-14-es-eredmenyetol,8,0,52,15,8,11,2,3,
2018-03-23,Republikon,1000,0.031,https://24.hu/belfold/2018/03/22/mandatumbecsles-fidesz-valasztas2018/,5,2,49,19,4,17,,2,
2018-03-24,Iránytű,1000,0.031,https://index.hu/belfold/2018/valasztas/2018/03/28/valasztasi_kampany_marcius_28-an/az_iranytu_intezet_szerint_gyengul_a_fidesz/,7,0,41,25,8,12,2,3,
2018-03-27,Medián,1200,0.028,https://vs.hu/kozelet/osszes/ketharmdos-fidesz-gyozelmet-jelez-a-median-0405,6,1,53,16,7,12,2,2,
2018-03-31,IDEA,1000,0.031,https://twitter.com/HungaryElects/status/981946646006255616,13,2,39,21,6,12,,1,
2018-03-31,Századvég,1000,0.031,https://kozvelemenykutatok.hu/2018-marciusi-kutatasi-eredmenyek-szazadveg/,6,1,51,13,7,15,,,
2018-04-03,Publicus,1006,0.031,https://index.hu/belfold/2018/valasztas/2018/04/05/publicus_annyival_esett_a_fidesz_tamogatottsaga_amennyivel_a_jobbike_nott/,5,0,45,20,7,19,,2,
2018-04-05,"Závecz Research",1000,0.031,https://twitter.com/EuropeElects/status/982358630019289088,9,1,46,19,7,14,,2,
2018-04-06,Iránytű,1000,0.031,https://twitter.com/HungaryElects/status/982683801854898177,7,1,41,25,7,13,,2,
2018-04-23,Publicus,995,0.031,https://kozvelemenykutatok.hu/2018-aprilisi-kutatasi-eredmenyek-publicus/,4,1,49,18,5,15,3,3,
2018-04-30,Nézőpont,2000,0.022,https://kozvelemenykutatok.hu/2018-aprilisi-kutatasi-eredmenyek-nezopont/,6,0,52,19,6,10,2,4,
2018-05-09,Publicus,1008,0.031,https://kozvelemenykutatok.hu/2018-majusi-kutatasi-eredmenyek-publicus/,4,1,48,18,5,15,3,3,
2018-05-13,"Závecz Research",1000,0.031,https://twitter.com/HungaryElects/status/997170406866989056,6,,50,21,6,11,1,3,
2018-05-22,Nézőpont,2000,0.022,https://kozvelemenykutatok.hu/10585-2/,5,0,54,19,6,9,2,4,
2018-06-01,Medián,1200,0.028,https://kozvelemenykutatok.hu/2018-majusi-kutatasi-eredmenyek-median/,7,0,59,16,3,11,0,3,
2018-06-11,"Závecz Research",1000,0.031,https://twitter.com/HungaryElects/status/1007371354688061440,6,,55,17,5,9,3,2,
2018-06-13,Publicus,996,0.031,https://kozvelemenykutatok.hu/2018-juniusi-kutatasi-eredmenyek-publicus/,4,0,48,16,5,16,3,3,
2018-06-22,Nézőpont,2000,0.022,https://twitter.com/HungaryElects/,5,,55,18,6,9,2,4,
2018-07-06,Századvég,1000,0.031,https://kozvelemenykutatok.hu/2018-juliusi-kutatasi-eredmenyek-szazadveg/,6,,51,13,7,15,,,
2018-07-16,Publicus,1010,0.031,https://kozvelemenykutatok.hu/10696-2/,4,,49,17,5,16,3,2,
2018-07-17,Nézőpont,2000,0.022,https://twitter.com/HungaryElects/status/1022375500189257728,6,,55,17,5,9,2,4,
2018-07-18,"Závecz Research",1000,0.031,https://kozvelemenykutatok.hu/2018-juliusi-kutatasi-eredmenyek-zri-zavecz/,7,,55,13,5,10,3,1,
2018-08-14,Nézőpont,2000,0.022,https://kozvelemenykutatok.hu/2018-augusztusi-kutatasi-eredmenyek-nezopont/,7,,54,17,5,9,2,4,
2018-08-16,Publicus,998,0.031,https://twitter.com/HungaryElects/status/1033660672356306944,4,,52,16,4,15,3,2,
2018-08-18,"Závecz Research",1000,0.031,https://kozvelemenykutatok.hu/,7,,56,14,5,10,3,2,
2018-09-10,Századvég,1000,0.031,https://kozvelemenykutatok.hu/2018-szeptemberi-kutatasi-eredmenyek-szazadveg/,7,,53,14,5,13,,,
2018-09-18,Nézőpont,2000,0.022,https://kozvelemenykutatok.hu/2018-szeptemberi-kutatasi-eredmenyek-nezopont/,8,,52,18,5,8,3,3,1
2018-09-18,"Závecz Research",1000,0.031,https://kozvelemenykutatok.hu/2018-szeptemberi-kutatasi-eredmenyek-zri-zavecz/,7,,57,14,4,11,2,3,2
2018-09-19,Publicus,1001,0.031,https://kozvelemenykutatok.hu/2018-szeptemberi-kutatasi-eredmenyek-publicus/,5,,53,14,5,15,3,2,0.05
2018-09-30,Medián,1200,0.028,https://kozvelemenykutatok.hu/2018-szeptemberi-kutatasi-eredmenyek-median/,10,,60,11,4,9,1,2,2
2018-10-17,Medián,1200,0.027,https://hvg.hu/itthon/201845__partok_es_politikusok_nepszerusege__erosodo_fidesz__ingatagok,9,,63,11,2,9,1,3,1
2018-10-17,Publicus,1007,0.031,https://publicus.hu/blog/partok-tamogatottsaga-2018-oktober/?fbclid=IwAR0aBVWr83C1lGQuk_7f9yBzxnk9w4RzzJ2WoqIb6cYjhkyJvBHMm4wEHQY,5,,52,14,4,15,3,2,1
2018-10-21,"Závecz Research",1000,0.031,https://twitter.com/HungaryElects/status/1057326857769701376,7,,57,12,3,11,2,4,1
2018-10-22,IDEA,2000,0.022,https://twitter.com/EuropeElects/status/1060563621330198528,7,,55,18,3,8,4,2,1
2018-10-29,Nézőpont,2000,0.022,https://twitter.com/EuropeElects/status/1060943771230199808,8,,51,17,4,10,4,4,1
2018-11-21,Publicus,1000,0.031,https://kozvelemenykutatok.hu/2018-novemberi-kutatasi-eredmenyek-publicus/,5,,54,13,4,14,3,2,2
2018-11-22,"Závecz Research",1000,0.031,https://index.hu/belfold/2018/11/27/zavecz_holtversenyben_van_az_mszp_es_a_jobbik/,8,,55,12,3,12,3,5,1
2018-11-27,Nézőpont,2000,0.022,https://kozvelemenykutatok.hu/2018-novemberi-kutatasi-eredmenyek-nezopont/,7,,53,15,4,10,4,4,2
2018-12-03,IDEA,2000,0.022,https://kozvelemenykutatok.hu/2018-decemberi-kutatasi-eredmenyek-idea/,9,,51,12,3,12,4,5,2
2018-12-05,Medián,1200,0.028,https://kozvelemenykutatok.hu/2018-decemberi-kutatasi-eredmenyek-median/,10,,59,12,2,10,1,3,2
2018-12-11,"Závecz Research",1000,0.031,https://hvg.hu/itthon/20181219_Felmeres_Egyre_borusabban_latjak_a_jovot_a_Fidesz_szavazoi,8,,51,15,3,13,3,4,2
2018-12-15,Nézőpont,2000,0.022,https://nezopontintezet.hu/analysis/fidesz-nepszerusege-nott-radikalizalodo-ellenzeke-csokkent-valasztasok-ota/,7,,54,14,4,11,3,4,3
2018-12-19,Publicus,1000,0.031,https://publicus.hu/blog/partok-tamogatottsaga-2018-december/,6,,48,16,4,15,3,4,1
2018-12-20,IDEA,2000,0.022,https://kozvelemenykutatok.hu/2018-decemberi-kutatasi-eredmenyek-2-idea/,9,,50,11,4,13,4,5,1
2019-01-11,"Závecz Research",1000,0.031,https://hvg.hu/itthon/20190116_Zavecz_a_Fidesz_elvesztett_negyedmillio_szavazot,8,,48,17,4,14,3,5,1
2019-01-13,Századvég,1000,0.031,https://szazadveg.hu/hu/kutatasok/az-alapitvany-kutatasai/piackutatas-kozvelemeny-kutatas/stabil-a-kormanypartok-tamogatottsaga,8,,53,13,5,12,,,
2019-01-16,Publicus,1009,0.031,https://publicus.hu/blog/partok-tamogatottsaga-2019-januar/,6,,47,17,4,16,3,4,1
2019-01-27,Nézőpont,5000,0.014,https://kozvelemenykutatok.hu/2019-januari-kutatasi-eredmenyek-nezopont/,7,,54,13,5,10,3,4,3
2019-01-28,IDEA,2000,0.022,https://kozvelemenykutatok.hu/2019-januari-kutatasi-eredmenyek-idea/,9,,47,16,3,12,4,6,1
2019-01-31,Medián,1200,0.028,https://kozvelemenykutatok.hu/2019-januari-kutatasi-eredmenyek-median/,9,,56,13,5,13,,3,1
2019-02-10,"Závecz Research",1000,0.031,https://kozvelemenykutatok.hu/2019-februari-kutatasi-eredmenyek-zri-zavecz/,9,,49,14,4,14,2,4,2
2019-02-20,Publicus,999,0.031,https://twitter.com/HungaryElects/status/1103600243273334784,5,,50,17,3,15,2,4,
2019-02-22,Nézőpont,5000,0.014,https://kozvelemenykutatok.hu/2019-februari-kutatasi-eredmenyek-nezopont/,6,,54,13,5,11,4,4,3
2019-03-04,IDEA,2000,0.022,https://kozvelemenykutatok.hu/2019-februari-kutatasi-eredmenyek-idea/,9,,47,17,3,12,4,4,2
